0,1,2
TAG641,Piston Aircraft,1960
IQN547,Jumbo Jet,1996
LOX845,Regional,1941
BWI201,Narrow Body Aircraft,2011
HEX956,Wide Body Airliners,1985
ZDC712,Wide Body Airliners,2009
WDR207,Turboprop Aircraft,1964
ERV417,Narrow Body Aircraft,1977
PTL906,Turboprop Aircraft,1930
ATI699,Regional Jet,2011
CZC155,Regional Jet,1941
ZWU432,Regional,1915
LQY204,Light Jet,1927
VVW696,Turboprop Aircraft,1986
PXH986,Wide Body Airliners,2000
QQL466,Airbus,1957
FCH790,Airbus,1954
SXP862,Turboprop Aircraft,1974
STB485,Light Jet,2013
RHR694,Piston Aircraft,1982
HZO772,Turboprop Aircraft,1987
TFE354,Light Jet,1974
YGU169,Jumbo Jet,2012
IUD572,Regional,1978
SDO607,Regional Jet,1979
SJE833,Regional,1961
VFU272,Mid-Size Jet,1976
ZED427,Narrow Body Aircraft,1933
UZA679,Narrow Body Aircraft,1984
TZZ768,Commuter liner,1997
IAM947,Narrow Body Aircraft,1994
DBL811,Jumbo Jet,2018
ERA706,Jumbo Jet,1956
SZX439,Mid-Size Jet,1922
FIA558,Turboprop Aircraft,1985
PVN816,Piston Aircraft,1940
ESR293,Piston Aircraft,1999
EDC714,Regional Jet,1914
WQQ653,Commuter liner,1955
CGE885,Commuter liner,1988
TQG928,Mid-Size Jet,1951
EDQ738,Commuter liner,1963
DTA368,Wide Body Airliners,1925
MZS617,Narrow Body Aircraft,1986
YVS333,Mid-Size Jet,1953
AHI312,Mid-Size Jet,1934
ODM261,Wide Body Airliners,2001
ITH977,Narrow Body Aircraft,1918
KTL132,Airbus,1984
VJZ981,Jumbo Jet,1916
QGQ659,Turboprop Aircraft,1919
KZR214,Mid-Size Jet,1964
FTQ435,Regional,1977
UOJ321,Commuter liner,2006
IMP649,Light Jet,1944
YCE609,Airbus,1974
YTG891,Narrow Body Aircraft,1936
UJK219,Light Jet,1970
SWC111,Light Jet,1984
YGB284,Wide Body Airliners,2018
EVR139,Light Jet,1922
NKU326,Airbus,1958
LQD168,Narrow Body Aircraft,1956
ENR809,Airbus,1914
CQK929,Light Jet,2020
NFT998,Light Jet,1925
ZOX490,Light Jet,1963
MGM136,Airbus,1990
TFE582,Regional,1973
HDC659,Airbus,1980
